event,time
mouse_move,2026-04-11 16:21:41.990724
mouse_move,2026-04-11 16:21:41.997632
mouse_move,2026-04-11 16:21:42.075719
mouse_move,2026-04-11 16:21:42.082246
mouse_move,2026-04-11 16:21:42.089291
mouse_move,2026-04-11 16:21:42.096097
mouse_move,2026-04-11 16:21:42.102990
mouse_move,2026-04-11 16:21:42.109954
mouse_move,2026-04-11 16:21:42.117049
mouse_move,2026-04-11 16:21:42.124270
mouse_move,2026-04-11 16:21:42.131316
mouse_move,2026-04-11 16:21:42.138227
mouse_move,2026-04-11 16:21:42.145300
mouse_move,2026-04-11 16:21:42.152120
mouse_move,2026-04-11 16:21:42.158954
mouse_move,2026-04-11 16:21:42.166334
mouse_move,2026-04-11 16:21:42.173303
mouse_move,2026-04-11 16:21:42.180409
mouse_move,2026-04-11 16:21:42.187585
mouse_move,2026-04-11 16:21:42.194266
mouse_move,2026-04-11 16:21:42.201469
mouse_move,2026-04-11 16:21:42.208330
mouse_move,2026-04-11 16:21:42.215264
mouse_move,2026-04-11 16:21:42.222499
mouse_move,2026-04-11 16:21:42.229608
mouse_move,2026-04-11 16:21:42.237074
mouse_move,2026-04-11 16:21:42.243250
mouse_move,2026-04-11 16:21:42.250834
mouse_move,2026-04-11 16:21:42.257904
mouse_move,2026-04-11 16:21:42.264481
mouse_move,2026-04-11 16:21:42.271721
mouse_move,2026-04-11 16:21:42.278460
mouse_move,2026-04-11 16:21:42.286197
mouse_move,2026-04-11 16:21:42.292818
mouse_move,2026-04-11 16:21:42.300290
mouse_move,2026-04-11 16:21:42.306885
mouse_move,2026-04-11 16:21:42.313970
mouse_move,2026-04-11 16:21:42.320524
mouse_move,2026-04-11 16:21:42.327592
mouse_move,2026-04-11 16:21:42.335207
mouse_move,2026-04-11 16:21:42.342394
mouse_move,2026-04-11 16:21:42.349527
mouse_move,2026-04-11 16:21:42.356183
mouse_move,2026-04-11 16:21:42.363546
mouse_move,2026-04-11 16:21:42.370230
mouse_move,2026-04-11 16:21:42.376846
mouse_move,2026-04-11 16:21:42.383885
mouse_move,2026-04-11 16:21:42.391396
mouse_move,2026-04-11 16:21:42.398139
mouse_move,2026-04-11 16:21:42.405201
mouse_move,2026-04-11 16:21:42.412142
mouse_move,2026-04-11 16:21:42.419555
mouse_move,2026-04-11 16:21:42.426224
mouse_move,2026-04-11 16:21:42.433619
mouse_move,2026-04-11 16:21:42.440872
mouse_move,2026-04-11 16:21:42.447449
mouse_move,2026-04-11 16:21:42.454656
mouse_move,2026-04-11 16:21:42.461741
mouse_move,2026-04-11 16:21:42.468765
mouse_move,2026-04-11 16:21:42.475757
mouse_move,2026-04-11 16:21:42.482621
mouse_move,2026-04-11 16:21:42.489666
mouse_move,2026-04-11 16:21:42.496543
mouse_move,2026-04-11 16:21:42.503470
mouse_move,2026-04-11 16:21:42.510533
mouse_move,2026-04-11 16:21:42.517621
